source_file,page,ramo,tipo_cobertura,poliza_no,certificado_no,inicio_vigencia,fin_vigencia,asegurado,propietario,nit,direccion,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,forma_pago,moneda,ocr_ok
1943853451940.pdf,1,Automóvil,'a: Todo Riesgo,AUTO - 371708,444,31/01/2025,31/01/2026 1200 A 12:00 HAS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD Descripción del Vehiculo","PRODUCTOS LACTEOS DE CENIROMMERCA, SOCIEDAD lime reneiaransa",,3 AVENIDA 13.78 -ZONA 10.GUATEMALA GUATEMALA. GUATEMALA. Color: BLANCO,,JAANPRI1HR7101039,,,,CAMION,,,BLANCO,,,True
1943853451940.pdf,2,Automóvi,ertura: Todo Riesgo,AUTO - 371708,445,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS DE cemraoamenica socenao |tsmeecme > |panejeressa |,,3 AVENIDA 13-78 -ZOMA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,EFECTIVO,,True
1943853451940.pdf,3,Automovi,,,,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD eines] Pas os: 3",,3 AVENIDA 13-78 -2ONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,Suzu,JAANPR71HR7101038,,,,,,ovn2ss,BLANCO,EFECTIVO,QUETZALES,True
1943853451940.pdf,4,,,,447,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10.GUATEMALA-.GUATEMALA- GUATEMALA Color: BLANCO,ISUZU,JAANPR71HR7101240,,,,CAMION,,,BLANCO,,QUETZALES,True
1943853451940.pdf,5,Automóvi,,,448,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD ere lranajareasa |",,,,,,,,,,,BLANCO,EFECTIVO,QUETZALES,True
1943853451940.pdf,6,ALtomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,ISUZU,JAANPR71HR7101237,,,2024,,,,BLANCO,,,True
1943853451940.pdf,7,Automóvi,a: Todo Riesgo,AUTO - 371708,450,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,,,,,,,,,BLANCO,EFECTIVO,,True
1943853451940.pdf,8,Automóvi,,,451,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 .ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,EFECTIVO,QUETZALES,True
1943853451940.pdf,9,Atomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -Z2OMA 10.GUATEMALA.GUATEMALA- GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,QUETZALES,False
1943853451940.pdf,10,Automóvi,,,453,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,ISUZU,JAANPR71HR7101227,,,,,,,BLANCO,,QUETZALES,True
1943853451940.pdf,11,Automóvi,,,454,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo",,,3 AVENIDA 13.78 .2OMA 10.GUATEMALA.GUATEMALA. GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,,,True
1943853451940.pdf,12,Automóvi,ertura: Todo Riesgo,AUTO - 371708,455,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MDUSTRASUACTEAS SA ltímeecno > [pasajeros |,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONAN/COMUNIDAD FRALJANES-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,,,True
1943853451940.pdf,13,,,,456,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MDUSTRASTACTEAS SA liímeame > Ípasajerosis |,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA/COMUNIDAD.F RALJANES-GUATEMALA-GUATEMALA Color: BLANCO,ISUZU,JAANPR71HS7100062,,,,,,,BLANCO,,,True
1943853451940.pdf,14,,,,457,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",DUSTRASLACTEAS SA Jumee:eve [pasajeros |,,KILOMETRO 25.5 CARRETERA A El SALVADOR -SIN ZONA/COMUNIDAD FRALJANES-GUATEMALA-.GUATEMALA Color: BLANCO,ISUZU,JALFVR3A7P7000877,,,,,,,BLANCO,,,True
1943853451940.pdf,15,Automóvi,"e ra: Todo Riesgo PÓ No.: AUTO - 371708 Certificado No.: 458 Inicio de Vigencia: 31/01/2025 Fin de Vigencia: 31/01/2026 12:00 A 12:00 HRS Asegurado: PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo IMA PropiRtano DUST LACIE EA limerr lrcnejararra | [ntodeio: 22 Jetasercmmom | Cn O o e a o loteo 222 ZONA/COMUNIDAD F RALJANES-GUATEMALA-GUATEMALA Color: BLANCO COBERTURAS Y BENEFICIOS AMPARADOS [Coberturas y Beneficios Amparados 7 L Daños Propios al Vehículo Descrito Todo riesgo de pérdida o daño físico que sufra el vehículo por cualquier causa externa, siempre y cuando no se encuentre excluido en las Condiciones Generales. Q 11,036.16 Todo Riesgo excluyendo robo: Q 220,12321 o Robo ylo Hurto Total: Q 220,723.21 | Q 11,036.16 Ala",,458,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo",,,,,,,,,,,,BLANCO,,,True
1943853451940.pdf,16,Automóvi,,,459,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -ZONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,EFECTIVO,,True
1943853451940.pdf,17,Automóvi,ertura: Todo Riesgo,AUTO - 371708,460,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 «ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,EFECTIVO,QUETZALES,True
1943853451940.pdf,18,Automóvi,,,461,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD! Descripción del Vehículo",,,3 AVENIDA 13-78 -ZONA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,,querzaLEs,True
1943853451940.pdf,19,Automóvi,a: Todo Riesgo,AUTO - 371708,462,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 .ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,,,True
1943853451940.pdf,20,Automóvi,,,463,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,,,True
1943853451940.pdf,21,ALomóvi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -ZOMA 10.GUATEMALA.GUATEMALA- GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,,QUETZALES,False
1943853451941.pdf,1,Automóvil,,,423,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MOUSTRASIACTEAS SA llinee:seuooeio |pasejers] |,,,,,,,,,,260398,,EFECTIVO,QUETZALES,True
1943853451941.pdf,2,Automóvi,ra: Todo Riesgo,AUTO - 371708,424,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",DUSTRAS UCTEAS SA llinee:swuooeio |pasojere3 |,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA/'COMUNIDAD FRALJANES-GUATEMALA- GUATEMALA Color: SiC,,,,,,,,,SiC,,QUETZALES,True
1943853451941.pdf,3,Automóvi,,,425,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA COMUNIDAD F RALJANES-GUATEMALA-GUATEMALA Color: S/C,ISUZU,JAANMKREGEK,,,,,,,S,EFECTIVO,QUETZALES,True
1943853451941.pdf,4,Automovil,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",MDUSTRASUACTEAS SA lies: semooeo [pasajeros] |,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA/COMUNIDAD F RALJANES-GUATEMALA- GUATEMALA Color: sic,,,,,,,,,sic,EFECTIVO,,False
1943853451941.pdf,5,Automóvi,a: Todo Riesgo,AUTO - 371708,427,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,,,,,,,,,SiC,,,True
1943853451941.pdf,6,Automóvwi,,,428,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MDUSTRAS UACTEAS SA liínee:smuooeio [pasajeros |,,KILOMETRO 25.5 CARRETERA A EL SALVADOR -SIN ZONA COMUNIDAD F RALJANES-GUATEMALA- GUATEMALA Color: S/C,,,,,,,,,S,EFECTIVO,QUETZALES,True
1943853451941.pdf,7,Automóvi,,,429,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MOUSTRISUACTEAS SA tines: suuuooero [pasajeresis |,,KILOMETRO 25.5 CARRETERA A El SALVADOR -SIN ZONA/COMUNIDAD.F RALJANES-GUATEMALA- GUATEMALA Color: sic,,,,,,,,,sic,EFECTIVO,,True
1943853451941.pdf,8,Automóvil,ertura: Todo Riesgo,,,,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,,ISUZU,JAANKREGE,,,,,,,,,QUETZALES,True
1943853451941.pdf,9,,,,431,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,ISUZU,JAANKREGE,,3,,,,,,,,True
1943853451941.pdf,10,Automóvi,,,432,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo","INDUSTRIAS LACTEAS, SA Iimeessmsmcocio |ramajeroela |",,,,,,,,,,,SiC,,QUETZALES,True
1943853451941.pdf,11,Automóvi,,,433,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MUSTRASLACTEAS SA [tinee:smuoocio [pasajeros: |,,KILOMETRO 25.5 CARRETERA A El SALVADOR -SIN ZONA/COMUNIDAD F RALJANES-GUATEMALA-GUATEMALA Color: SiC,,,,,,,,,SiC,,queres O,True
1943853451941.pdf,12,Automóvil,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,,,,,,,,,BLANCO PERLA DOLOMITE,,QUETZALES,False
1943853451941.pdf,13,Automóvi,,,435,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS OE CENTROMMERCA Socioao|tinesc me pasalerossa |,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,QUETZALES,True
1943853451941.pdf,14,Automóvi,ertura: Todo Riesgo,AUTO - 371708,436,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS 0€ cEnTRomERIcA Socenao|meacme > [Panajerosia |,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,,True
1943853451941.pdf,15,Automóvi,ertura: Todo Riesgo,AUTO - 371708,437,,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD! Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD lime ranejarossa |",,,,,,,2024,,,,BLANCO,,,True
1943853451941.pdf,16,Automóvi,,,438,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -ZONMA 10.GUATEMALA- GUATEMALA. GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,,True
1943853451941.pdf,17,Atomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS DE cenrmoauec Socuoao|tmeecme [pasajeros] |,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,tSUZU,JAANPR71HR7101021,,,,,,,BLANCO,,QUETZALES,True
1943853451941.pdf,18,Auomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS OE CENTROMMERICA, SocienaD|tameac me [pasajerosca |",,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,EFECTIVO,,False
1943853451941.pdf,19,Automovil,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",PROQUCTOS LACTEOS DE CENIROAMERICA Socinan|tameecme > penajerossa |,,3 AVENIDA 13-78 .ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,,,False
1943853451941.pdf,20,Artomóvi,,,442,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,EFECTIVO,,True
1943853451941.pdf,21,Automóvi,,,443,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,ISUZU,JAANPR71HR7101051,,,2024,,,,BLANCO,,QUETZALES,True
1943853451942.pdf,1,,,,465,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD Descripción del Vehiculo",PRODUCTOS LACTEOS DE CENTROmMERCA SocioaD|tineec me [Pasajeros |,,3 AVENIDA 13-78 -ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,EFECTIVO,,True
1943853451942.pdf,2,Automóvwi,,,466,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD limas Pasajeros: 3",,3 AVENIDA 13-78 .ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,ISUZU,JAANPR71HS7100048,,3,2025,CAMION,,oVmv132,BLANCO,EFECTIVO,QUETZALES,True
1943853451942.pdf,3,Automóvi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD Descripción del Vehículo",,,3 AVENIDA 13-78 -ZONA 10.GUATEMALA GUATEMALA. GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,EFECTIVO,,False
1943853451942.pdf,4,Automóvi,,,468,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -Z2ONA 10.GUATEMALA.GUATEMALA. GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,EFECTIVO,,True
1943853451942.pdf,5,Automóvi,,,469,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-.GUATEMALA- GUATEMALA Color: ROJO,INTERNATIONAL,3HSOZAPR8JN598375,,,2019,,,,ROJO,,,True
1943853451942.pdf,6,Aitomówi,,,470,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -Z2ONA 10.GUATEMALA-.GUATEMALA- GUATEMALA Color: ROJO,INTERNATIONAL,3MSOZAPR1IN598377,,,2018,,,,ROJO,,QUETZALES,True
1943853451942.pdf,7,Automóvil,ertura: Todo Riesgo,AUTO - 371708,471,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"d0: PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD! Descripción del Vehículo",,,,GREAT,1GRAAD628GE,,,,OTROS,,,BLANCO,EFECTO,,True
1943853451942.pdf,8,Automóvi,,,472,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD",,3 AVENIDA 13-78 -2ZONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,GREAT,1GRAA9624G8709713,,,,OTROS,,,BLANCO,EFECTIVO,,True
1943853451942.pdf,9,Automóvil,ertura: Todo Riesgo,AUTO - 371708,473,01/04/2025,31/01/2026 1200 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,KM. 25.5 CARRETERA A EL SALVADOR FRALJANES -SIN ZONA-GUATEMALA-GUATEMALA-GUATEMALA Color: PLATEADO METALICO,ISUZU,MPATFS40JT,,,2020,,,evszoo,PLATEADO METALICO,,,True
1943853451942.pdf,10,Automóvil,ertura: Todo Riesgo,AUTO - 371708,474,,31/01/2026 1200 A 12:00 HRS,"! d0: PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROMERCA, SOCIEDAD lismee:isecocconmaso [Masajeroara |",,3 AVENIDA 13.78 -ZONA 10-GUATEMALA.GUATEMALA. GUATEMALA Color: BLANCO,HNO,JHHAS,,,,,,,BLANCO,,,True
1943853451942.pdf,11,Automóvil,ertura: Todo Riesgo,AUTO - 371708,475,30/09/2025,31/01/2026 12:00 A 12:00 HRS,> Deducible 7],,,3RA AVENIDA 13-78 EDIFICIO CITIGROUP APTO JOFICINA N17 EDIFICIO CITIGROUP -ZONA 1O.GUATEMALA- GUATEMALA. | Color: BLANCO Y CALCOMANÍA MULTICOLOR,SUZUKI,MAJ0TOSB0S0E,,,2025,,,,BLANCO Y CALCOMANÍA MULTICOLOR,,QUETZALES,True
1943853451942.pdf,12,Automóvil,ertura: Todo Riesgo,AUTO - 371708,476,,31/01/2026 1200 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD",,,SUZUKI,MAJO,,,,,,,sLanco y caucomantamancoros,EFECTO,,True
